Nt,J,lr,loss_mean,loss_std,FPR,TPR,price_mean,price_std,alg,recall,precision,fr_p
3,1,5,0.7009,0.0558022400984,0.429248225383,0.950846296543,4.3,0.0,Baseline,0.950846296543,0.830891273081,0.02
3,1,5,0.8131,0.068367316753,0.501137037722,0.949233353948,2.906,0.0352533686334,M-runs,0.949233353948,0.808042192046,0.02
3,1,5,0.7605,0.0783188993794,0.451773562537,0.913313330955,2.6591,0.468962567803,SM-runs,0.913313330955,0.817655769327,0.02
3,2,5,0.3308,0.0340199941211,0.165013239415,0.8823364422,8.6,0.0,Baseline,0.8823364422,0.925352236045,0.02
3,2,5,0.2445,0.0524332909515,0.101791861382,0.869696862282,6.7632,0.0639199499374,M-runs,0.869696862282,0.951785002786,0.02
3,2,5,0.1579,0.0730156832468,0.0993371849579,0.986478745565,7.5004,1.03148448364,SM-runs,0.986478745565,0.958964320991,0.02
3,3,5,0.328,0.0407357336991,0.199672124809,0.964130878681,12.9,0.0,Baseline,0.964130878681,0.917242673335,0.02
3,3,5,0.2265,0.0391414102965,0.125399664169,0.947689284972,9.9204,0.103539557658,M-runs,0.947689284972,0.945572989807,0.02
3,3,5,0.1756,0.121005950267,0.0991736403213,0.962200996564,7.5879,1.97056608364,SM-runs,0.962200996564,0.957335968872,0.02
3,4,5,0.2041,0.0303,0.119938500574,0.975852841949,17.2,0.0,Baseline,0.975852841949,0.947024278792,0.02
3,4,5,0.1552,0.0180266469428,0.0831865747695,0.962661706357,13.3728,0.107997036996,M-runs,0.962661706357,0.962338103851,0.02
3,4,5,0.1042,0.0659678709676,0.0532267985178,0.972791744414,8.5341,1.41560181195,SM-runs,0.972791744414,0.975196516566,0.02
3,5,5,0.1459,0.03457585863,0.088340470284,0.985070115515,21.5,0.0,Baseline,0.985070115515,0.961881131072,0.02
3,5,5,0.1152,0.0205075595818,0.0653411879996,0.978101033315,16.792,0.185448105949,M-runs,0.978101033315,0.971365969845,0.02
3,5,5,0.0963,0.0792994955848,0.0534617677993,0.978547133476,8.2526,1.33051653128,SM-runs,0.978547133476,0.976670814965,0.02
3,6,5,0.1024,0.0205922315449,0.0615318695172,0.990737911029,25.8,0.0,Baseline,0.990737911029,0.972609482627,0.02
3,6,5,0.0752,0.012967652062,0.0410698847691,0.982961417504,20.2884,0.231045969452,M-runs,0.982961417504,0.981640744323,0.02
3,6,5,0.0921,0.0385653989996,0.0504904501328,0.982014064444,8.3135,0.647309856251,SM-runs,0.982014064444,0.977147931816,0.02
3,7,5,0.0734,0.0129938446966,0.0454038950806,0.99435278399,30.1,0.0,Baseline,0.99435278399,0.980248042986,0.02
3,7,5,0.0645,0.0204462710537,0.0377989007672,0.989971036071,23.7468,0.259665091994,M-runs,0.989971036071,0.983583580637,0.02
3,7,5,0.0593,0.0319438569994,0.032793014964,0.986651644332,9.4753,0.910984418088,SM-runs,0.986651644332,0.985743491789,0.02
3,8,5,0.051,0.0115065198909,0.0307385201733,0.996346979337,34.4,0.0,Baseline,0.996346979337,0.985975699609,0.02
3,8,5,0.056,0.0127200628929,0.0318729913221,0.991953558432,27.0768,0.252151065832,M-runs,0.991953558432,0.98531958796,0.02
3,8,5,0.0613,0.0601532210276,0.030908588646,0.982817114324,9.5411,1.35764844124,SM-runs,0.982817114324,0.985747166941,0.02
3,9,5,0.0402,0.0174917123233,0.0244135072221,0.996812553787,38.7,0.0,Baseline,0.996812553787,0.989067299017,0.02
3,9,5,0.0322,0.0140769314838,0.0195805445445,0.997536458341,30.4407,0.274346514467,M-runs,0.997536458341,0.991201652738,0.02
3,9,5,0.0485,0.0296487773778,0.0222326043756,0.979674781792,9.6736,1.16517811514,SM-runs,0.979674781792,0.989983250987,0.02
3,10,5,0.0336,0.0133731073427,0.0208813863307,0.997691921876,43.0,0.0,Baseline,0.997691921876,0.99084926969,0.02
3,10,5,0.0276,0.00827284715198,0.0166172805633,0.996973189296,34.088,0.269213669787,M-runs,0.996973189296,0.992680735335,0.02
3,10,5,0.0455,0.0335149220497,0.0264367784805,0.992795583619,10.2415,0.944542878857,SM-runs,0.992795583619,0.988425177058,0.02
3,1,5,0.7149,0.0519854787417,0.439453713129,0.948761652122,4.3,0.0,Baseline,0.948761652122,0.828294157963,0.05
3,1,5,0.762,0.055910642994,0.469123187058,0.946432963786,2.9783,0.062254397435,M-runs,0.946432963786,0.818555885556,0.05
3,1,5,0.7058,0.0995889552109,0.407786875691,0.891891318436,2.8702,0.387002015499,SM-runs,0.891891318436,0.830950993366,0.05
3,2,5,0.3396,0.0318377134857,0.169065532167,0.883838334675,8.6,0.0,Baseline,0.883838334675,0.921981634517,0.05
3,2,5,0.2448,0.0305967318516,0.0986365229932,0.865461968877,6.881,0.0910087907842,M-runs,0.865461968877,0.951824482792,0.05
3,2,5,0.1043,0.0448197501109,0.0636217902913,0.99022706454,7.7953,0.770329286734,SM-runs,0.99022706454,0.972412365274,0.05
3,3,5,0.3033,0.0223609033807,0.177053888606,0.963103220781,12.9,0.0,Baseline,0.963103220781,0.922319054039,0.05
3,3,5,0.2496,0.0256600857364,0.13577881355,0.947338225391,9.9849,0.106582784726,M-runs,0.947338225391,0.938292942165,0.05
3,3,5,0.0773,0.02468623098,0.0444588169702,0.988605107533,8.9679,0.876223881208,SM-runs,0.988605107533,0.979969934975,0.05
3,4,5,0.1982,0.0167857082067,0.117271001118,0.977895792639,17.2,0.0,Baseline,0.977895792639,0.948366606655,0.05
3,4,5,0.1524,0.020981896959,0.0831989493171,0.96745668866,13.5468,0.125386442648,M-runs,0.96745668866,0.962382439211,0.05
3,4,5,0.0948,0.0498594023229,0.0553734031964,0.987182149081,8.343,0.885023841487,SM-runs,0.987182149081,0.975478608881,0.05
3,5,5,0.1471,0.0328190493464,0.0876407857875,0.985317734544,21.5,0.0,Baseline,0.985317734544,0.961121467664,0.05
3,5,5,0.1118,0.0235065948193,0.0622068678115,0.977796002904,17.007,0.145502577297,M-runs,0.977796002904,0.97215087551,0.05
3,5,5,0.0583,0.0152581125963,0.0342465565053,0.992282019815,9.339,0.882649873959,SM-runs,0.992282019815,0.984753250869,0.05
3,6,5,0.0923,0.0220501700674,0.0558971008098,0.99025131814,25.8,0.0,Baseline,0.99025131814,0.975755137625,0.05
3,6,5,0.084,0.0167212439729,0.0480948835358,0.984230750218,20.364,0.208399616122,M-runs,0.984230750218,0.979125896058,0.05
3,6,5,0.071,0.035670716281,0.0425054566847,0.99138742467,9.3885,1.14505373236,SM-runs,0.99138742467,0.981521672762,0.05
3,7,5,0.075,0.019590814174,0.0455945031568,0.994179169926,30.1,0.0,Baseline,0.994179169926,0.979683410233,0.05
3,7,5,0.0672,0.0166481230173,0.0397109156467,0.991720282437,23.7496,0.229164220593,M-runs,0.991720282437,0.982349183874,0.05
3,7,5,0.0714,0.0300439677806,0.0420234900722,0.990689049984,9.2986,0.736974110807,SM-runs,0.990689049984,0.981389954347,0.05
3,8,5,0.0531,0.013049521064,0.0311523080214,0.994757242834,34.4,0.0,Baseline,0.994757242834,0.985619774287,0.05
3,8,5,0.0569,0.022545287756,0.032936537071,0.992892810467,27.4096,0.293433195123,M-runs,0.992892810467,0.984936276014,0.05
3,8,5,0.0679,0.0178966477308,0.0393194326744,0.991371006949,9.805,0.710913778176,SM-runs,0.991371006949,0.982050934121,0.05
3,9,5,0.0494,0.0158568597143,0.0308216023452,0.997250510786,38.7,0.0,Baseline,0.997250510786,0.986424893098,0.05
3,9,5,0.0287,0.0122151545221,0.0161509879709,0.994621289916,30.7251,0.288181349154,M-runs,0.994621289916,0.992772100428,0.05
3,9,5,0.0549,0.0316558051548,0.0314594011614,0.991450160154,10.5835,0.994397330045,SM-runs,0.991450160154,0.985922858108,0.05
3,10,5,0.0329,0.0115191145493,0.0206083330946,0.997993791365,43.0,0.0,Baseline,0.997993791365,0.990994699179,0.05
3,10,5,0.0296,0.0128467894822,0.0178180981897,0.99694853574,34.008,0.379731484078,M-runs,0.99694853574,0.992092099116,0.05
3,10,5,0.0437,0.0182540406486,0.0234384342512,0.988888118469,10.8137,0.999385816389,SM-runs,0.988888118469,0.989606754564,0.05
3,1,5,0.7213,0.0450445335196,0.437092601385,0.952144628042,4.3,0.0,Baseline,0.952144628042,0.825689901259,0.1
3,1,5,0.7754,0.0756706019535,0.473376955062,0.95629106358,3.0397,0.0467291129811,M-runs,0.95629106358,0.814665343,0.1
3,1,5,0.7422,0.0910327413627,0.413189577254,0.867144257534,2.9348,0.382885570373,SM-runs,0.867144257534,0.820372420849,0.1
3,2,5,0.3188,0.0382643437158,0.158069880409,0.884935641615,8.6,0.0,Baseline,0.884935641615,0.928425235243,0.1
3,2,5,0.2521,0.0356158672504,0.107073685331,0.870140969743,6.9596,0.0808841146332,M-runs,0.870140969743,0.949620892489,0.1
3,2,5,0.1217,0.0831060166294,0.0757645457706,0.98895795251,7.4586,0.780781172929,SM-runs,0.98895795251,0.968484455138,0.1
3,3,5,0.2982,0.0429157313814,0.180300698986,0.963882981684,12.9,0.0,Baseline,0.963882981684,0.924882651485,0.1
3,3,5,0.2495,0.0344013081147,0.141376670185,0.949196584383,10.1256,0.0957634585842,M-runs,0.949196584383,0.939267461777,0.1
3,3,5,0.0954,0.0246016259625,0.058116331992,0.98935909171,8.284,0.69053689257,SM-runs,0.98935909171,0.975136550444,0.1
3,4,5,0.1841,0.0359289576804,0.107275398141,0.973762661063,17.2,0.0,Baseline,0.973762661063,0.952975778294,0.1
3,4,5,0.1712,0.0237099135384,0.0952574355791,0.965763255696,13.6188,0.12256002611,M-runs,0.965763255696,0.957656529188,0.1
3,4,5,0.0766,0.0258696733648,0.0443261458621,0.988229809533,8.9802,0.383360874373,SM-runs,0.988229809533,0.980340270102,0.1
3,5,5,0.1386,0.00943610088967,0.0833381955461,0.986791536129,21.5,0.0,Baseline,0.986791536129,0.963289960837,0.1
3,5,5,0.121,0.0270628897201,0.0678675322038,0.977498705096,17.0665,0.190066435753,M-runs,0.977498705096,0.969658670652,0.1
3,5,5,0.0719,0.0275479581821,0.0421251724792,0.990685818743,9.6268,0.717030794318,SM-runs,0.990685818743,0.981196327312,0.1
3,6,5,0.1004,0.0211480495555,0.0608516067437,0.990093665051,25.8,0.0,Baseline,0.990093665051,0.973468755204,0.1
3,6,5,0.0829,0.0187053468292,0.0474372408761,0.985704543117,20.7162,0.23673859001,M-runs,0.985704543117,0.979046237871,0.1
3,6,5,0.0541,0.0119033608699,0.0313298965528,0.991204797234,10.4051,0.618999264943,SM-runs,0.991204797234,0.986222653987,0.1
3,7,5,0.0729,0.0201962867874,0.0462076059654,0.995138246339,30.1,0.0,Baseline,0.995138246339,0.980422245634,0.1
3,7,5,0.056,0.0184336648554,0.0323172646862,0.989242321607,24.0485,0.171271276051,M-runs,0.989242321607,0.98617011781,0.1
3,7,5,0.0632,0.0198181734779,0.0381451739171,0.99115765256,10.45,0.529889422427,SM-runs,0.99115765256,0.98386546601,0.1
3,8,5,0.0518,0.0170516861336,0.0330440605436,0.995328023828,34.4,0.0,Baseline,0.995328023828,0.98640899346,0.1
3,8,5,0.0482,0.015689486926,0.0302294978359,0.994757212046,27.4664,0.192068321178,M-runs,0.994757212046,0.987484860983,0.1
3,8,5,0.0629,0.0258706397292,0.0376410578475,0.989481622304,10.4259,0.283899436421,SM-runs,0.989481622304,0.984385744888,0.1
3,9,5,0.0426,0.00917823512447,0.0257914049664,0.996220561327,38.7,0.0,Baseline,0.996220561327,0.98849160349,0.1
3,9,5,0.034,0.00792464510246,0.020610046105,0.997106889022,31.0572,0.190357978556,M-runs,0.997106889022,0.990775703818,0.1
3,9,5,0.0586,0.0357944129719,0.0340752633256,0.991170875123,11.5095,0.531867511698,SM-runs,0.991170875123,0.984978401878,0.1
3,10,5,0.0362,0.0132196822957,0.022264704393,0.997530432323,43.0,0.0,Baseline,0.997530432323,0.990073955519,0.1
3,10,5,0.0262,0.0124482930557,0.0159016719195,0.997535883812,34.711,0.47848615445,M-runs,0.997535883812,0.992941823461,0.1
3,10,5,0.0644,0.0136981750609,0.037879940692,0.991475525486,11.8602,0.425666959018,SM-runs,0.991475525486,0.983201935187,0.1
3,1,5,0.6982,0.0536466215152,0.43499924537,0.954962270085,4.3,0.0,Baseline,0.954962270085,0.832340776441,0.2
3,1,5,0.7823,0.0578395193618,0.487199377975,0.949798983485,3.1366,0.0456030700721,M-runs,0.949798983485,0.814984544821,0.2
3,1,5,0.7577,0.0650615862088,0.455919483495,0.913857916679,2.9065,0.316867559084,SM-runs,0.913857916679,0.819765379547,0.2
3,2,5,0.3189,0.0273548898737,0.159172722487,0.890052861209,8.6,0.0,Baseline,0.890052861209,0.927395460438,0.2
3,2,5,0.2728,0.0337958577343,0.120057291224,0.87080536552,7.164,0.0403484820037,M-runs,0.87080536552,0.943008302193,0.2
3,2,5,0.112,0.0221359436212,0.0687873762935,0.989924755261,8.077,0.477248782083,SM-runs,0.989924755261,0.970402888579,0.2
3,3,5,0.3212,0.0273195900408,0.187520526893,0.959705497787,12.9,0.0,Baseline,0.959705497787,0.918220806448,0.2
3,3,5,0.281,0.0304335341359,0.155357755913,0.944719346503,10.4523,0.152271500945,M-runs,0.944719346503,0.930411716054,0.2
3,3,5,0.1159,0.023355727349,0.0689047539322,0.988486286326,9.1514,0.396400100908,SM-runs,0.988486286326,0.969148051561,0.2
3,4,5,0.201,0.0362243012355,0.119563883289,0.97473757696,17.2,0.0,Baseline,0.97473757696,0.948482084788,0.2
3,4,5,0.1614,0.0198655480669,0.0877491984425,0.961895775818,14.1264,0.197206085099,M-runs,0.961895775818,0.96102847299,0.2
3,4,5,0.1037,0.0191313878221,0.0623565445296,0.988884719173,10.0705,0.40419357986,SM-runs,0.988884719173,0.972718467899,0.2
3,5,5,0.1395,0.0200162434038,0.0826800646496,0.983262826962,21.5,0.0,Baseline,0.983262826962,0.963612376562,0.2
3,5,5,0.1194,0.0336992581521,0.0670132433963,0.979054503165,17.739,0.114952163964,M-runs,0.979054503165,0.969718488016,0.2
